City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloud Level,Date,Wind Speed
Flin Flon,CA,54.77,-101.88,35.76,35.76,85,68,1538185754,7.78
Diamantino,BR,-14.4,-56.44,76.35,76.35,86,32,1538185283,2.42
Hobart,AU,-42.88,147.33,53.6,53.6,64,40,1538182800,19.46
Fort Morgan,US,40.25,-103.8,42.91,44.6,73,90,1538182800,10.29
Erice,IT,38.04,12.59,68.83,71.6,49,40,1538184000,6.93
Jumla,NP,29.28,82.18,45.03,45.03,79,0,1538185515,1.97
Haifa,IL,32.82,35.0,80.13,80.13,100,0,1538185755,5.66
Myanaung,MM,18.28,95.32,85.8,85.8,92,20,1538185755,2.75
Yebaishou,CN,41.4,119.64,53.58,53.58,71,64,1538185756,4.99
Maceio,BR,-9.67,-35.74,73.4,73.4,88,0,1538182800,5.82
Clyde River,CA,70.47,-68.59,30.2,30.2,86,90,1538182800,10.29
Jamestown,AU,-33.21,138.6,52.08,52.08,47,0,1538183849,8.97
Cabo San Lucas,MX,22.89,-109.91,83.35,84.2,78,75,1538178600,5.82
Hermanus,ZA,-34.42,19.24,44.61,44.61,91,56,1538183854,1.92
Yellowknife,CA,62.45,-114.38,33.8,33.8,64,75,1538182800,18.34
Castro,CL,-42.48,-73.76,48.21,48.21,100,80,1538183844,8.41
Nuuk,GL,64.17,-51.74,35.6,35.6,100,75,1538182200,12.75
Sorong,ID,-0.86,131.25,81.15,81.15,100,32,1538184431,5.61
Zapatoca,CO,6.82,-73.27,74.79,80.6,100,40,1538182800,2.24
Hithadhoo,MV,-0.6,73.08,79.26,79.26,100,92,1538183834,19.82
Upernavik,GL,72.79,-56.15,33.63,33.63,100,88,1538183824,16.13
Avarua,CK,-21.21,-159.78,75.2,75.2,60,75,1538182800,9.17
Carnarvon,ZA,-30.97,22.13,38.67,38.67,43,0,1538183847,9.08
Tadine,NC,-21.55,167.88,72.3,72.3,93,92,1538185759,20.31
Torbay,CA,47.66,-52.73,50.0,50.0,100,90,1538182800,8.05
Adamantina,BR,-21.69,-51.08,77.0,77.0,61,0,1538182800,9.17
Praia da Vitoria,PT,38.73,-27.07,71.6,71.6,100,75,1538182800,17.81
Lavrentiya,RU,65.58,-170.99,44.7,44.7,91,92,1538183897,28.88
Sunbury,US,40.86,-76.79,55.35,57.02,96,20,1538183400,3.98
Kuryk,KZ,43.18,51.68,56.73,56.73,70,0,1538185761,13.6
Omboue,GA,-1.57,9.26,77.34,77.34,100,92,1538185426,6.22
Kavaratti,IN,10.57,72.64,79.26,79.26,100,64,1538183927,9.19
Jalu,LY,29.03,21.55,59.37,59.37,42,24,1538184522,3.83
Cap Malheureux,MU,-19.98,57.61,71.6,71.6,73,20,1538182800,10.29
Thompson,CA,55.74,-97.86,32.0,32.0,73,90,1538182800,10.29
Mahebourg,MU,-20.41,57.7,70.17,70.17,88,56,1538183874,10.31
Pevek,RU,69.7,170.27,44.07,44.07,90,56,1538183873,3.38
Kargopol,RU,61.51,38.95,39.54,39.54,93,64,1538185763,12.48
Antofagasta,CL,-23.65,-70.4,59.0,59.0,72,90,1538182800,9.17
Raahe,FI,64.68,24.47,26.6,26.6,92,0,1538184000,3.36
Ribeira Grande,PT,38.52,-28.7,73.23,73.23,100,32,1538183842,12.55
Bredasdorp,ZA,-34.53,20.04,55.4,55.4,62,36,1538179200,4.7
East London,ZA,-33.02,27.91,65.31,65.31,100,0,1538183865,30.33
Banda Aceh,ID,5.56,95.32,73.05,73.05,99,0,1538184485,1.92
Cherskiy,RU,68.75,161.3,37.32,37.32,86,32,1538183898,3.15
Dunedin,NZ,-45.87,170.5,56.64,56.64,61,48,1538185384,13.15
Georgetown,GY,6.8,-58.16,78.8,78.8,88,0,1538179200,6.93
Masindi,UG,1.69,31.72,64.2,64.2,96,68,1538185765,2.98
Faanui,PF,-16.48,-151.75,77.19,77.19,100,24,1538183936,5.61
Vestmannaeyjar,IS,63.44,-20.27,45.15,45.15,100,92,1538184460,31.0
Ouahigouya,BF,13.58,-2.42,74.55,74.55,79,20,1538185766,5.21
Preobrazheniye,RU,42.9,133.91,64.38,64.38,56,0,1538185315,2.75
Butaritari,KI,3.07,172.79,85.29,85.29,100,0,1538183844,6.85
Zhezkazgan,KZ,47.8,67.71,42.8,42.8,60,0,1538182800,6.71
Mombetsu,JP,44.35,143.35,66.2,66.2,48,20,1538182800,8.05
Ulaanbaatar,MN,47.92,106.92,33.8,33.8,80,75,1538184600,11.18
Marathon,CA,48.72,-86.38,42.78,42.78,100,92,1538185768,9.01
Micheweni,TZ,-4.97,39.83,75.81,75.81,100,92,1538185768,14.5
Bluff,AU,-23.58,149.07,77.46,77.46,55,0,1538183827,5.61
Promyshlennaya,RU,54.92,85.64,48.2,48.2,93,0,1538182800,11.18
Kibara,TZ,-2.15,33.45,64.74,64.74,100,20,1538185769,3.98
Ranong,TH,9.96,98.62,80.6,80.6,94,20,1538182800,5.44
Luderitz,NA,-26.65,15.16,58.29,58.29,68,8,1538183904,17.13
Troitskoye,RU,52.98,84.68,58.8,58.8,53,24,1538185770,9.13
Makakilo City,US,21.35,-158.09,83.43,86.0,72,90,1538183700,5.82
Bilibino,RU,68.06,166.44,42.81,42.81,67,36,1538183969,3.04
Kattivakkam,IN,13.22,80.32,82.4,82.4,83,40,1538184600,4.7
Ambon,FR,47.55,-2.56,55.4,55.4,71,0,1538184600,10.29
Lompoc,US,34.64,-120.46,62.78,68.0,77,75,1538182980,6.93
Dawson Creek,CA,55.76,-120.23,43.84,44.6,60,75,1538182800,5.82
Albany,US,42.65,-73.75,54.07,57.02,86,40,1538182440,3.36
Port Alfred,ZA,-33.59,26.89,63.06,63.06,85,0,1538183826,26.98
Yeppoon,AU,-23.13,150.74,80.6,80.6,42,0,1538182800,10.29
Poum,MK,41.28,20.71,46.41,46.41,59,76,1538184451,0.47
Yar-Sale,RU,66.83,70.83,51.72,51.72,89,88,1538184420,18.03
Ubaitaba,BR,-14.31,-39.32,65.46,65.46,97,68,1538185773,3.42
Lazaro Cardenas,MX,28.39,-105.62,78.8,78.8,39,5,1538181840,8.05
Iqaluit,CA,63.75,-68.52,33.8,33.8,74,75,1538182800,3.36
Lucea,JM,18.44,-78.17,80.6,80.6,69,20,1538182800,2.24
Dikson,RU,73.51,80.55,40.02,40.02,89,64,1538183873,14.67
Basco,US,40.33,-91.2,49.55,51.08,76,90,1538184900,5.82
Bereda,ES,43.27,-7.54,59.0,59.0,100,90,1538184600,4.7
Kaitangata,NZ,-46.28,169.85,59.19,59.19,69,32,1538183897,11.65
Nome,US,30.04,-94.42,77.11,78.98,82,40,1538182500,6.93
Haines Junction,CA,60.75,-137.51,37.38,37.38,62,12,1538185268,2.19
Pascagoula,US,30.37,-88.56,77.4,80.06,100,1,1538184900,2.08
Maun,BW,-19.99,23.42,81.03,81.03,28,100,1538185776,6.55
San Patricio,PY,-26.98,-56.83,77.91,77.91,80,0,1538183873,4.38
Waipawa,NZ,-39.94,176.59,53.43,53.43,83,12,1538183934,11.65
Hamilton,CA,43.26,-79.87,55.44,60.8,81,90,1538182800,10.29
Mago,RU,53.27,140.15,55.83,55.83,59,76,1538185777,3.31
Aguas Formosas,BR,-17.08,-40.94,68.16,68.16,69,0,1538185778,5.55
Roald,NO,62.58,6.12,46.13,48.2,87,92,1538182200,19.46
Mount Gambier,AU,-37.83,140.78,53.61,53.61,77,64,1538183894,4.61
Yinchuan,CN,38.48,106.21,63.66,63.66,35,0,1538185778,1.41
Masuda,JP,34.68,131.85,65.23,66.92,93,75,1538182800,5.82
Tambo,AU,-24.88,146.25,85.98,85.98,33,0,1538185779,5.66
Sorland,NO,67.67,12.69,46.83,46.83,100,92,1538185351,31.38
Sampit,ID,-2.54,112.95,88.14,88.14,73,0,1538185780,8.79
Tasiilaq,GL,65.61,-37.64,41.0,41.0,38,0,1538182200,20.8
Golden,CA,51.3,-116.96,31.26,31.26,94,88,1538185570,1.74
Makokou,GA,0.56,12.85,70.68,70.68,99,68,1538185780,1.86
Gorom-Gorom,BF,14.45,-0.24,71.04,71.04,90,44,1538185781,13.94
Natal,BR,-5.81,-35.21,77.0,77.0,83,20,1538182800,3.36
Port Elizabeth,US,39.31,-74.98,60.55,63.14,96,1,1538182560,4.38
Limeira,BR,-22.56,-47.4,68.94,69.8,82,0,1538182800,12.75
Vostok,RU,46.45,135.83,58.26,58.26,61,0,1538185369,2.75
Baruun-Urt,MN,46.68,113.28,41.43,41.43,80,76,1538185782,2.19
Alibag,IN,18.64,72.88,80.6,80.6,78,90,1538184600,5.82
Nanortalik,GL,60.14,-45.24,37.77,37.77,94,0,1538183859,30.22
Saint-Philippe,CA,45.36,-73.48,61.03,64.4,83,1,1538182500,6.93
Numaligarh,IN,26.63,93.73,77.07,77.07,93,88,1538185783,3.09
Rantoul,US,40.31,-88.16,52.18,54.14,67,75,1538184900,6.93
Khatanga,RU,71.98,102.47,40.83,40.83,90,12,1538183837,12.88
Bambous Virieux,MU,-20.34,57.76,70.17,70.17,88,56,1538183924,10.31
Alice Springs,AU,-23.7,133.88,73.4,73.4,27,0,1538182800,20.8
Nambour,AU,-26.63,152.96,78.33,78.33,64,0,1538185785,6.22
Lufilufi,WS,-13.87,-171.6,87.8,87.8,55,75,1538182800,11.41
Ulaangom,MN,49.98,92.07,49.53,49.53,47,0,1538185247,2.3
Sobolevo,RU,54.43,31.9,35.76,35.76,88,80,1538185383,3.65
Burnie,AU,-41.05,145.91,53.22,53.22,99,32,1538185362,20.87
Berdigestyakh,RU,62.1,126.7,40.26,40.26,66,36,1538185786,8.01
Krasnoarmeysk,RU,56.12,38.15,41.0,41.0,93,40,1538182800,8.95
Saskylakh,RU,71.97,114.09,31.74,31.74,94,92,1538183847,12.21
Suraia,RO,45.68,27.38,46.11,46.11,75,8,1538185786,7.11
Dakar,SN,14.69,-17.45,81.66,81.66,97,32,1538185787,10.13
Saa,NG,7.32,10.08,66.63,66.63,93,64,1538185787,2.64
Vaitape,PF,-16.52,-151.75,77.25,77.25,100,88,1538185788,8.68
Fortuna,ES,38.18,-1.13,65.3,66.2,88,0,1538182800,4.7
Cidreira,BR,-30.17,-50.22,66.93,66.93,92,56,1538183864,20.15
Qaanaaq,GL,77.48,-69.36,13.29,13.29,100,0,1538183865,11.77
Anapskaya,RU,44.9,37.38,44.6,44.6,93,0,1538182800,8.95
Pangnirtung,CA,66.15,-65.72,28.02,28.02,87,20,1538185275,5.77
Lebu,ET,8.96,38.73,45.69,45.69,66,8,1538183870,4.72
Aljezur,PT,37.31,-8.8,68.34,68.34,100,0,1538185452,12.03
Bowen,AU,-20.01,148.25,80.6,80.6,51,40,1538182800,12.75
Nanakuli,US,21.39,-158.15,83.98,86.0,88,75,1538185320,6.93
Vanavara,RU,60.35,102.28,46.47,46.47,74,0,1538185380,3.76
Tabuk,PH,17.41,121.44,80.49,80.49,63,64,1538185274,1.41
Kirakira,SB,-10.46,161.92,80.34,80.34,100,36,1538184528,13.67
Eidsvag,NO,62.78,8.07,44.6,44.6,75,92,1538184000,27.51
Haridwar,IN,29.97,78.17,74.91,74.91,87,0,1538185791,4.21
Idrinskoye,RU,54.37,92.14,53.04,53.04,87,0,1538185791,3.98
Lagoa,PT,37.14,-8.45,71.6,71.6,94,0,1538182800,4.7
Kahului,US,20.89,-156.47,85.55,89.96,78,75,1538180700,6.93
Deogarh,IN,21.53,84.72,82.29,82.29,88,36,1538185520,0.74
Broome,GB,52.47,1.45,39.51,44.6,93,0,1538182560,2.24
Aykhal,RU,65.95,111.51,40.8,40.8,97,8,1538185793,3.98
Bollene,FR,44.28,4.75,67.42,68.0,52,0,1538184600,24.16
Puerto Ayora,EC,-0.74,-90.35,75.2,75.2,73,20,1538179200,17.22
Ilulissat,GL,69.22,-51.1,32.0,32.0,99,92,1538182200,10.29
Rio Grande,BR,-32.03,-52.1,66.45,66.45,93,92,1538185305,24.79
Bambanglipuro,ID,-7.95,110.28,81.57,81.57,67,8,1538185795,4.43
Divo,CI,5.83,-5.36,72.84,72.84,98,88,1538185795,5.66
Tessalit,ML,20.2,1.01,77.64,77.64,32,32,1538184227,6.06
Sinazongwe,ZM,-17.26,27.46,68.43,68.43,75,0,1538185796,2.42
Constitucion,MX,23.99,-104.67,62.6,62.6,72,90,1538181780,9.17
Vallam,IN,10.72,79.06,80.6,80.6,78,20,1538184600,5.66
Mapiri,BO,-15.31,-68.22,51.96,51.96,92,20,1538185797,2.98
Kieta,PG,-6.22,155.63,81.12,81.12,99,8,1538185484,8.23
Oranjemund,ZA,-28.55,16.43,57.54,57.54,94,12,1538185798,26.57
Sao Gabriel,BR,-30.34,-54.32,70.77,70.77,88,0,1538185798,15.05
Kouango,CF,4.99,19.98,68.88,68.88,96,68,1538185798,2.98
Rush,US,40.31,-81.37,60.04,60.98,90,1,1538182380,3.36
Caravelas,BR,-17.73,-39.27,77.19,77.19,100,0,1538183897,16.46
Chuy,UY,-33.69,-53.46,62.79,62.79,96,92,1538183836,23.4
Beringovskiy,RU,63.05,179.32,48.12,48.12,95,100,1538184351,17.13
Ancud,CL,-41.87,-73.83,48.93,48.93,98,92,1538183824,8.41
Key West,US,47.93,-96.78,33.53,35.06,75,1,1538183700,3.36
Victoria,BN,5.28,115.24,85.21,86.0,83,75,1538182800,4.16
Kysyl-Syr,RU,63.9,122.77,41.88,41.88,72,88,1538185362,7.34
Provideniya,RU,64.42,-173.23,48.21,48.21,86,92,1538183838,27.2
Anadyr,RU,64.73,177.51,42.8,42.8,93,75,1538182800,17.9
Hofn,IS,64.25,-15.21,45.69,45.69,96,0,1538183856,33.91
Eyl,SO,7.98,49.82,77.28,77.28,88,8,1538184344,18.03
Yerbogachen,RU,61.28,108.01,48.45,48.45,68,0,1538185264,3.76
Haldia,IN,22.03,88.06,88.05,88.05,86,44,1538185802,5.32
Touros,BR,-5.2,-35.46,77.1,77.1,89,64,1538183949,13.0
Nicoya,CR,10.15,-85.45,75.2,75.2,100,75,1538182800,3.36
Itupeva,BR,-23.15,-47.06,67.06,68.0,82,0,1538182800,12.75
San Andres,PH,13.32,122.68,83.37,83.37,100,36,1538185803,15.95
Turayf,SA,31.68,38.65,68.0,68.0,45,0,1538182800,11.41
Imbituba,BR,-28.24,-48.67,71.6,71.6,83,75,1538182800,8.05
Cockburn Town,TC,21.46,-71.14,83.67,83.67,97,56,1538183852,16.24
Amazar,RU,53.86,120.88,57.9,57.9,42,0,1538185804,3.42
Pyinmana,MM,19.74,96.21,82.56,82.56,81,80,1538185805,3.2
Young,UY,-32.7,-57.63,73.11,73.11,81,0,1538185805,15.28
Breytovo,RU,58.3,37.86,40.44,40.44,94,76,1538185805,14.83
Hay River,CA,60.82,-115.79,37.4,37.4,51,75,1538182800,12.75
Ponta do Sol,BR,-20.63,-46.0,73.77,73.77,60,68,1538183828,7.52
Isangel,VU,-19.55,169.27,71.61,71.61,100,92,1538183745,18.7
Batu Gajah,MY,4.47,101.04,78.8,78.8,88,75,1538182800,4.7
Port Augusta,AU,-32.49,137.76,55.4,55.4,54,0,1538182800,11.41
Esperance,TT,10.24,-61.45,80.6,80.6,88,20,1538179200,7.96
Atar,MR,20.52,-13.05,77.28,77.28,30,0,1538184347,6.06
Djougou,BJ,9.71,1.67,71.31,71.31,97,20,1538185807,2.19
Washington DC.,US,38.9,-77.04,62.73,66.92,96,1,1538183700,2.64
Vigrestad,NO,58.57,5.7,48.2,48.2,87,90,1538182200,19.46
Mackenzie,CA,55.34,-123.09,48.2,48.2,63,75,1538182800,6.93
Chokurdakh,RU,70.62,147.9,30.21,30.21,100,56,1538183900,6.17
Tokur,RU,53.13,132.9,56.1,56.1,47,56,1538185808,5.44
Moron,VE,10.49,-68.2,71.76,71.76,91,68,1538185355,2.75
Olot,UZ,39.42,63.81,52.97,53.6,53,0,1538182800,4.7
Mar del Plata,AR,-46.43,-67.52,57.03,57.03,50,0,1538183827,10.65
Boali,CF,4.81,18.11,71.6,71.6,100,20,1538182800,2.75
Marsabit,KE,2.34,37.99,70.95,70.95,78,36,1538185398,11.25
Pinheiro,BR,-2.53,-45.09,78.96,78.96,72,0,1538185810,6.78
Atasu,KZ,48.68,71.64,35.79,35.79,77,0,1538184453,2.82
Fomboni,KM,-12.28,43.74,77.61,77.61,100,36,1538185811,8.57
Tiznit,MA,29.7,-9.73,69.51,69.51,93,44,1538185236,3.98
Kharhial,IN,20.28,82.77,81.48,81.48,86,8,1538185419,3.98
Krasnozerskoye,RU,53.98,79.24,49.44,49.44,75,0,1538185812,12.82
Muli,IN,22.62,71.45,81.66,81.66,49,0,1538185812,4.54
Todos Santos,MX,23.45,-110.23,83.59,84.2,70,75,1538182200,6.93
Baghdad,IQ,33.3,44.38,73.4,73.4,31,0,1538182800,5.82
Alofi,NU,-19.06,-169.92,80.6,80.6,61,75,1538182800,16.11
Longyearbyen,NO,78.22,15.63,26.6,26.6,79,75,1538182200,18.34
Parana,BR,-7.52,-72.89,77.0,77.0,94,0,1538182800,2.24
Nagorsk,RU,59.32,50.8,40.08,40.08,97,92,1538185813,8.23
Dongsheng,CN,29.72,112.52,78.06,78.06,71,0,1538185814,5.66
Bandarbeyla,SO,9.49,50.81,77.01,77.01,99,0,1538183798,18.7
Tarpon Springs,US,28.15,-82.76,84.04,86.0,83,90,1538184900,3.36
Eureka,US,40.8,-124.16,60.82,62.6,80,90,1538182500,4.7
Sao Joao da Barra,BR,-21.64,-41.05,74.67,74.67,100,92,1538183925,10.98
Trujillo,PE,-8.11,-79.03,62.6,62.6,88,75,1538182800,6.93
Xiamen,CN,24.46,118.07,84.2,84.2,42,0,1538182800,4.47
Vardo,US,39.62,-77.74,60.85,62.6,93,1,1538182500,3.36
Morant Bay,JM,17.88,-76.41,82.4,82.4,78,20,1538182800,3.36
Ciudad Bolivar,VE,8.12,-63.55,80.04,80.04,77,20,1538185816,11.03
Hasaki,JP,35.73,140.83,68.92,71.6,100,75,1538181840,4.7
Villa de Cura,VE,10.04,-67.49,67.89,67.89,96,44,1538185817,2.19
Platanos,GR,35.47,23.6,66.2,66.2,100,40,1538184000,27.25
Mao,DO,19.55,-71.08,80.6,80.6,83,20,1538182800,4.7
Banepa,NP,27.63,85.52,68.0,68.0,88,20,1538184000,1.3
Bridlington,GB,54.08,-0.19,39.72,42.8,93,8,1538184000,9.17
San Luis,AR,-33.3,-66.34,68.43,68.43,66,0,1538185819,11.7
Olteni,RO,45.98,25.85,33.33,33.33,79,0,1538185819,2.08
Guaxupe,BR,-21.31,-46.71,64.2,64.2,87,32,1538185819,3.42
Okakarara,NA,-20.59,17.46,58.98,58.98,51,0,1538185820,6.55
Pacific Grove,US,36.62,-121.92,63.07,66.2,62,1,1538182500,9.17
Shache,CN,38.42,77.24,56.73,56.73,51,0,1538185821,4.54
Hope,CA,49.38,-121.43,66.29,71.6,37,1,1538182800,6.93
Ritchie,ZA,-29.03,24.6,44.6,44.6,22,0,1538182800,9.69
Tyumentsevo,RU,53.32,81.5,53.67,53.67,56,0,1538185822,11.36
Podor,MR,16.65,-14.96,79.23,79.23,78,20,1538185822,3.65
Sao Jose da Coroa Grande,BR,-8.9,-35.15,73.02,73.02,98,80,1538185460,4.43
Murnau,DE,48.23,12.29,50.0,50.0,76,75,1538184000,4.7
Rome,IT,41.89,12.48,59.13,62.6,58,0,1538184000,6.93
Cabra,ES,37.47,-4.43,63.41,66.2,82,76,1538184600,1.12
Lata,IN,30.78,78.62,45.87,45.87,86,0,1538183908,2.26
Namibe,AO,-15.19,12.15,68.55,68.55,99,12,1538184491,7.4
Kloulklubed,PW,7.04,134.26,84.2,84.2,74,75,1538178600,6.93
Gobabis,NA,-22.45,18.97,64.4,64.4,23,0,1538182800,1.12
Saint George,GR,39.45,22.34,60.8,60.8,63,75,1538182200,9.17
Faya,SA,18.39,42.45,64.47,66.2,36,0,1538179200,6.06
Ahipara,NZ,-35.17,173.16,58.56,58.56,74,36,1538183962,4.94
Margate,AU,-43.03,147.26,53.6,53.6,86,40,1538182800,19.46
Mianyang,CN,31.46,104.75,70.14,70.14,82,92,1538185826,3.87
Yumen,CN,40.29,97.04,60.24,60.24,26,24,1538185418,11.48
Japura,ID,-0.42,102.29,85.08,85.08,76,0,1538185826,0.96
Mahibadhoo,MV,3.78,72.97,81.57,81.57,100,64,1538185439,20.54
Monte Gordo,ES,37.18,-7.45,71.6,71.6,88,0,1538184600,2.24
Kruisfontein,ZA,-34.0,24.73,60.45,60.45,84,88,1538184155,23.85
Wagar,US,31.44,-87.99,75.9,75.9,86,56,1538185827,2.42
Mocuba,MZ,-16.84,36.99,71.22,71.22,64,0,1538185828,5.1
Belmonte,PT,40.36,-7.35,58.29,58.29,73,8,1538184437,3.38
Cassia,US,28.89,-81.47,81.81,82.94,79,1,1538182560,6.93
Araouane,ML,18.9,-3.53,77.7,77.7,37,48,1538185441,6.11
Impfondo,CD,1.62,18.06,71.13,71.13,99,68,1538185260,2.19
Leshukonskoye,RU,64.9,45.76,39.9,39.9,97,92,1538185829,4.21
Flensburg,DE,54.78,9.43,40.96,44.6,93,20,1538184000,8.05
Amuntai,ID,-2.42,115.25,88.86,88.86,60,0,1538185710,2.19
Puerto Carreno,CO,6.19,-67.49,77.0,77.0,94,75,1538182800,2.42
Grimshaw,CA,56.19,-117.61,42.8,42.8,33,20,1538182800,3.36
Gamba,CN,28.28,88.52,35.13,35.13,63,0,1538185285,2.64
Ushtobe,KZ,45.25,77.98,62.49,62.49,58,0,1538185831,4.54
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,59.0,59.0,47,0,1538182800,2.24
Ust-Kuyga,RU,70.0,135.55,31.44,31.44,83,80,1538185449,8.46
Salinopolis,BR,-0.61,-47.36,81.3,81.3,94,0,1538185832,17.29
Tumut,AU,-35.3,148.22,51.33,51.33,60,0,1538185832,4.43
Tlacotalpan,MX,18.61,-95.66,75.27,75.27,100,88,1538185833,2.75
Tamandare,BR,-8.28,-70.75,79.59,79.59,85,20,1538185833,5.44
Hovd,NO,63.83,10.7,42.89,44.6,75,75,1538182200,19.46
Bethel,US,60.79,-161.76,68.0,68.0,48,1,1538182380,14.99
Puerto Escondido,MX,15.86,-97.07,82.4,82.4,74,90,1538181660,11.41
Ambilobe,MG,-13.19,49.05,69.15,69.15,69,0,1538185466,12.37
Kuandian,CN,40.73,124.78,58.53,58.53,97,88,1538185834,4.32
Sarangani,PH,5.4,125.46,82.95,82.95,97,0,1538184313,5.73
Trenggalek,ID,-8.05,111.71,82.83,82.83,61,20,1538185835,3.42
Kendari,ID,-3.99,122.52,81.48,81.48,79,88,1538185835,3.98
Champerico,MX,16.38,-93.6,70.14,70.14,92,92,1538185362,0.4
Coolum Beach,AU,-26.53,153.09,78.33,78.33,64,0,1538185836,6.22
Qandala,SO,11.47,49.87,66.63,66.63,99,0,1538185836,2.64
Hambantota,LK,6.12,81.12,77.55,77.55,100,36,1538183870,11.65
Vila Velha,BR,-3.71,-38.6,80.6,80.6,78,20,1538182800,9.17
Tabuleiro do Norte,BR,-5.24,-38.13,78.15,78.15,70,0,1538185539,10.25
Telsiai,LT,55.98,22.25,39.63,39.63,88,0,1538185837,10.02
Havoysund,NO,71.0,24.66,33.8,33.8,86,75,1538178600,12.75
Artyom,RU,43.36,132.19,64.4,64.4,72,75,1538182800,6.71
Maldonado,UY,-34.91,-54.96,62.6,62.6,93,90,1538182800,11.41
